name,frame,ra,dec,band_idx,wavelength_old,receiver_old,cfg_A_old,cfg_B_old,cfg_C_old,cfg_D_old,uvmin_kl_old,uvmax_kl_old,wavelength_new,receiver_new,cfg_A_new,cfg_B_new,cfg_C_new,cfg_D_new,uvmin_kl_new,uvmax_kl_new
1745-290,J2000,17h45m40.0383s,"-29d00'28.069""",3,0.7cm,Q,S,S,S,X,50.0,,0.7cm,Q,S,S,S,X,50.0,
1746+624,J2000,17h46m14.034146s,"62d26'54.738420""",1,6cm,C,X,X,X,S,15.0,,6cm,C,X,X,X,S,,15.0
1746+624,J2000,17h46m14.034146s,"62d26'54.738420""",2,3.7cm,X,X,X,X,S,20.0,,3.7cm,X,X,X,X,S,,20.0
1747+469,J2000,17h47m26.647281s,"46d58'50.926300""",0,20cm,L,S,X,X,X,30.0,,20cm,L,S,X,X,X,30.0,
1748+700,J2000,17h48m32.840231s,"70d05'50.768820""",0,20cm,L,X,S,P,P,30.0,,20cm,L,X,S,P,P,,30.0
1748+700,J2000,17h48m32.840231s,"70d05'50.768820""",1,6cm,C,S,S,X,X,100.0,,6cm,C,S,S,X,X,100.0,
1748+700,J2000,17h48m32.840231s,"70d05'50.768820""",2,3.7cm,X,S,X,S,S,400.0,100.0,3.7cm,X,S,X,S,S,400.0,100.0
1749+433,J2000,17h49m00.360410s,"43d21'51.286880""",0,20cm,L,W,X,X,X,50.0,,20cm,L,W,X,X,X,50.0,
1751+096,J2000,17h51m32.818573s,"09d39'00.728510""",0,20cm,L,P,P,S,S,1.5,,20cm,L,P,P,S,S,1.5,
1751-253,J2000,17h51m51.263047s,"-25d24'00.060610""",0,20cm,L,P,P,S,S,3.0,,20cm,L,P,P,S,S,3.0,
1751-253,J2000,17h51m51.263047s,"-25d24'00.060610""",1,6cm,C,S,S,S,S,3.0,,6cm,C,S,S,S,S,3.0,
1751-253,J2000,17h51m51.263047s,"-25d24'00.060610""",2,3.7cm,X,S,S,S,S,3.0,,3.7cm,X,S,S,S,S,3.0,
1753+288,J2000,17h53m42.473634s,"28d48'04.939080""",0,20cm,L,P,P,S,X,6.0,,20cm,L,P,P,S,X,6.0,
1756+578,J2000,17h56m03.628301s,"57d48'47.997990""",0,20cm,L,S,S,S,X,6.0,,20cm,L,S,S,S,X,6.0,
1759+237,J2000,17h59m00.358091s,"23d43'46.953790""",0,20cm,L,S,S,S,X,6.0,90.0,20cm,L,S,S,S,X,6.0,90.0
1759+237,J2000,17h59m00.358091s,"23d43'46.953790""",1,6cm,C,X,S,S,S,90.0,,6cm,C,X,S,S,S,,90.0
1800+388,J2000,18h00m24.765367s,"38d48'30.697590""",0,20cm,L,S,X,X,X,60.0,,20cm,L,S,X,X,X,60.0,
1801+440,J2000,18h01m32.314854s,"44d04'21.900310""",1,6cm,C,S,X,X,X,100.0,,6cm,C,S,X,X,X,100.0,
1801+440,J2000,18h01m32.314854s,"44d04'21.900310""",2,3.7cm,X,S,S,X,X,80.0,,3.7cm,X,S,S,X,X,80.0,
1801+440,J2000,18h01m32.314854s,"44d04'21.900310""",3,2cm,U,S,S,S,X,60.0,,2cm,U,S,S,S,X,60.0,
1804+010,J2000,18h04m15.984606s,"01d01'32.407340""",0,20cm,L,S,S,S,X,6.0,,20cm,L,S,S,S,X,6.0,
1805+110,J2000,18h05m06.4458s,"11d01'31.642""",0,90cm,P,X,S,S,X,1.0,5.0,90cm,P,X,S,S,X,1.0,5.0
1805+110,J2000,18h05m06.4458s,"11d01'31.642""",1,20cm,L,X,X,X,S,5.0,,20cm,L,X,X,X,S,,5.0
1806+698,J2000,18h06m50.680650s,"69d49'28.108520""",1,6cm,C,S,X,X,X,200.0,,6cm,C,S,X,X,X,200.0,
1806+698,J2000,18h06m50.680650s,"69d49'28.108520""",2,3.7cm,X,P,S,X,X,100.0,,3.7cm,X,P,S,X,X,100.0,
1806+698,J2000,18h06m50.680650s,"69d49'28.108520""",3,2cm,U,P,P,S,X,50.0,,2cm,U,P,P,S,X,50.0,
1808+457,J2000,18h08m21.885902s,"45d42'20.866210""",0,20cm,L,S,S,X,X,10.0,,20cm,L,S,S,X,X,10.0,
1810+567,J2000,18h10m03.319173s,"56d49'22.968420""",0,20cm,L,S,S,X,X,15.0,,20cm,L,S,S,X,X,15.0,
1811-209,J2000,18h11m06.8000s,"-20d55'03.444""",0,20cm,L,S,S,S,X,6.0,75.0,20cm,L,S,S,S,X,6.0,75.0
1812-068,J2000,18h12m50.941918s,"-06d48'23.853810""",0,20cm,L,X,X,S,S,15.0,,20cm,L,X,X,S,S,,15.0
1814+412,J2000,18h14m22.706202s,"41d13'05.608520""",1,6cm,C,S,S,X,X,60.0,,6cm,C,S,S,X,X,60.0,
1814+412,J2000,18h14m22.706202s,"41d13'05.608520""",2,3.7cm,X,S,S,X,X,60.0,,3.7cm,X,S,S,X,X,60.0,
1820-097,J2000,18h20m38.1071s,"-09d47'17.071""",0,20cm,L,X,X,S,X,6.0,12.0,20cm,L,X,X,S,X,6.0,12.0
1820-097,J2000,18h20m38.1071s,"-09d47'17.071""",1,6cm,C,X,X,X,S,12.0,,6cm,C,X,X,X,S,,12.0
1820-254,J2000,18h20m57.848685s,"-25d28'12.584560""",0,20cm,L,S,S,X,X,16.0,,20cm,L,S,S,X,X,16.0,
1822-096,J2000,18h22m28.7042s,"-09d38'56.835""",1,20cm,L,X,P,P,P,50.0,,20cm,L,X,P,P,P,,50.0
1822-096,J2000,18h22m28.7042s,"-09d38'56.835""",2,3.7cm,X,X,X,S,P,50.0,,3.7cm,X,X,X,S,P,,50.0
1822-131,J2000,18h22m10.9030s,"-13d09'44.230""",0,3.7cm,X,X,X,W,W,100.0,,3.7cm,X,X,X,W,W,,100.0
1823+796,J2000,18h23m14.108717s,"79d38'49.002450""",0,20cm,L,S,S,X,X,20.0,,20cm,L,S,S,X,X,20.0,
1824+107,J2000,18h24m02.855259s,"10d44'23.774010""",0,20cm,L,P,P,S,X,6.0,,20cm,L,P,P,S,X,6.0,
1824+568,J2000,18h24m07.068372s,"56d51'01.490880""",1,6cm,C,S,X,X,X,200.0,,6cm,C,S,X,X,X,200.0,
1824+568,J2000,18h24m07.068372s,"56d51'01.490880""",2,3.7cm,X,S,S,X,X,100.0,,3.7cm,X,S,S,X,X,100.0,
1829+399,J2000,18h29m56.520223s,"39d57'34.703080""",0,20cm,L,W,W,X,X,15.0,,20cm,L,W,W,X,X,15.0,
1829+487,J2000,18h29m31.7832s,"48d44'46.161""",0,90cm,P,X,X,S,S,2.0,,90cm,P,X,X,S,S,,2.0
1829+487,J2000,18h29m31.7832s,"48d44'46.161""",1,20cm,L,X,X,X,S,3.0,,20cm,L,X,X,X,S,,3.0
1829+487,J2000,18h29m31.7832s,"48d44'46.161""",3,3.7cm,X,X,X,X,X,400.0,,3.7cm,X,X,X,X,X,400.0,
1829+487,J2000,18h29m31.7832s,"48d44'46.161""",4,2cm,U,S,X,X,X,400.0,,2cm,U,S,X,X,X,400.0,
1830-360,J2000,18h30m58.8829s,"-36d02'30.132""",1,20cm,L,X,S,P,P,30.0,,20cm,L,X,S,P,P,,30.0
1830-360,J2000,18h30m58.8829s,"-36d02'30.132""",2,6cm,C,X,X,S,S,30.0,,6cm,C,X,X,S,S,,30.0
1832+285,J2000,18h32m50.185631s,"28d33'35.955300""",1,6cm,C,S,S,X,X,100.0,,6cm,C,S,S,X,X,100.0,
1832+285,J2000,18h32m50.185631s,"28d33'35.955300""",2,3.7cm,X,S,S,X,X,50.0,,3.7cm,X,S,S,X,X,50.0,
1832-105,J2000,18h32m20.8360s,"-10d35'11.200""",1,6cm,C,S,S,S,X,10.0,,6cm,C,S,S,S,X,10.0,
1832-105,J2000,18h32m20.8360s,"-10d35'11.200""",2,3.7cm,X,P,P,P,P,5.0,,3.7cm,X,P,P,P,P,5.0,
1833-210,J2000,18h33m39.9150s,"-21d03'40.050""",0,90cm,P,S,S,S,S,16.0,,90cm,P,S,S,S,S,,16.0
1833-210,J2000,18h33m39.9150s,"-21d03'40.050""",1,20cm,L,X,X,P,P,16.0,,20cm,L,X,X,P,P,,16.0
1833-210,J2000,18h33m39.9150s,"-21d03'40.050""",3,2cm,U,X,X,X,S,30.0,,2cm,U,X,X,X,S,,30.0
1834-126,J2000,18h34m19.2165s,"-12d37'40.945""",1,6cm,C,X,X,X,X,200.0,,6cm,C,X,X,X,X,,200.0
1835+613,J2000,18h35m19.675284s,"61d19'40.014280""",1,6cm,C,S,S,X,X,60.0,,6cm,C,S,S,X,X,60.0,
1835+613,J2000,18h35m19.675284s,"61d19'40.014280""",2,3.7cm,X,S,S,X,X,60.0,,3.7cm,X,S,S,X,X,60.0,
1842+681,J2000,18h42m33.641636s,"68d09'25.227880""",0,20cm,L,S,S,X,X,30.0,,20cm,L,S,S,X,X,30.0,
1842+681,J2000,18h42m33.641636s,"68d09'25.227880""",1,6cm,C,P,P,S,X,20.0,,6cm,C,P,P,S,X,20.0,
1842+797,J2000,18h42m08.989953s,"79d46'17.128010""",1,3.7cm,X,S,X,X,X,80.0,,3.7cm,X,S,X,X,X,80.0,
1845+356,J2000,18h45m35.108870s,"35d41'16.726510""",0,20cm,L,S,S,X,X,25.0,,20cm,L,S,S,X,X,25.0,
1849+670,J2000,18h49m16.072300s,"67d05'41.679930""",0,20cm,L,S,S,X,X,20.0,,20cm,L,S,S,X,X,20.0,
1849+670,J2000,18h49m16.072300s,"67d05'41.679930""",1,6cm,C,P,P,P,X,15.0,,6cm,C,P,P,P,X,15.0,
1851+005,J2000,18h51m46.7217s,"00d35'32.414""",1,6cm,C,S,,,,200.0,,6cm,C,S,,,,200.0,
1851+005,J2000,18h51m46.7217s,"00d35'32.414""",2,3.7cm,X,S,,,,200.0,,3.7cm,X,S,,,,200.0,
1851+005,J2000,18h51m46.7217s,"00d35'32.414""",3,2cm,U,S,,,,200.0,,2cm,U,S,,,,200.0,
1852+403,J2000,18h52m30.372548s,"40d19'06.608240""",1,6cm,C,X,X,X,S,20.0,,6cm,C,X,X,X,S,,20.0
1852+403,J2000,18h52m30.372548s,"40d19'06.608240""",2,3.7cm,X,X,X,X,S,25.0,,3.7cm,X,X,X,X,S,,25.0
1852+489,J2000,18h52m28.547838s,"48d55'47.481430""",0,20cm,L,W,X,X,X,20.0,,20cm,L,W,X,X,X,20.0,
1854+738,J2000,18h54m57.299946s,"73d51'19.907470""",1,6cm,C,S,S,S,X,20.0,,6cm,C,S,S,S,X,20.0,
1859+129,J2000,18h59m23.3972s,"12d59'11.921""",0,90cm,P,X,X,S,S,2.0,,90cm,P,X,X,S,S,,2.0
1859+129,J2000,18h59m23.3972s,"12d59'11.921""",1,20cm,L,X,X,X,S,3.0,,20cm,L,X,X,X,S,,3.0
1902-234,J2000,19h02m49.2525s,"-23d29'52.084""",0,90cm,P,X,X,S,S,3.0,,90cm,P,X,X,S,S,,3.0
1902-234,J2000,19h02m49.2525s,"-23d29'52.084""",1,20cm,L,X,X,X,S,3.0,,20cm,L,X,X,X,S,,3.0
1912+376,J2000,19h12m25.123615s,"37d40'36.644990""",0,20cm,L,S,S,X,X,12.0,,20cm,L,S,S,X,X,12.0,
1915+658,J2000,19h15m23.819124s,"65d48'46.384910""",0,20cm,L,S,S,X,X,20.0,,20cm,L,S,S,X,X,20.0,
1922+155,J2000,19h22m34.699188s,"15d30'10.032130""",1,6cm,C,P,P,P,P,6.0,,6cm,C,P,P,P,P,6.0,
1922+155,J2000,19h22m34.699188s,"15d30'10.032130""",3,2cm,U,S,S,S,S,6.0,,2cm,U,S,S,S,S,6.0,
1924+334,J2000,19h24m17.4839s,"33d29'29.724""",0,90cm,P,S,S,X,X,3.0,,90cm,P,S,S,X,X,3.0,
1924-292,J2000,19h24m51.055957s,"-29d14'30.121150""",0,90cm,P,S,S,S,X,2.0,,90cm,P,S,S,S,X,2.0,
1924-292,J2000,19h24m51.055957s,"-29d14'30.121150""",1,20cm,L,P,P,S,X,6.0,,20cm,L,P,P,S,X,6.0,
1927+612,J2000,19h27m30.442628s,"61d17'32.879210""",0,20cm,L,P,P,S,X,7.0,,20cm,L,P,P,S,X,7.0,
1927+612,J2000,19h27m30.442628s,"61d17'32.879210""",1,6cm,C,P,P,P,P,5.0,,6cm,C,P,P,P,P,5.0,
1927+739,J2000,19h27m48.495196s,"73d58'01.569960""",0,20cm,L,P,P,S,X,6.0,,20cm,L,P,P,S,X,6.0,
1927+739,J2000,19h27m48.495196s,"73d58'01.569960""",1,6cm,C,P,P,P,P,5.0,,6cm,C,P,P,P,P,5.0,
1928+088,J2000,19h28m40.855498s,"08d48'48.413060""",1,6cm,C,S,S,X,X,80.0,,6cm,C,S,S,X,X,80.0,
1928+088,J2000,19h28m40.855498s,"08d48'48.413060""",2,3.7cm,X,S,S,X,X,80.0,,3.7cm,X,S,S,X,X,80.0,
1930+155,J2000,19h30m52.7324s,"15d32'34.002""",0,3.7cm,X,X,X,X,S,20.0,,3.7cm,X,X,X,X,S,,20.0
1931+227,J2000,19h31m24.916790s,"22d43'31.258870""",0,20cm,L,S,S,X,X,10.0,,20cm,L,S,S,X,X,10.0,
1936+715,J2000,19h36m03.560794s,"71d31'31.785400""",0,20cm,L,S,S,X,X,10.0,,20cm,L,S,S,X,X,10.0,
1937-399,J2000,19h37m16.217362s,"-39d58'01.553060""",0,20cm,L,P,P,S,S,3.0,,20cm,L,P,P,S,S,3.0,
1939-154,J2000,19h39m26.657740s,"-15d25'43.058320""",0,20cm,L,P,P,S,X,6.0,,20cm,L,P,P,S,X,6.0,
1941+104,J2000,19h41m56.0453s,"10d26'48.483""",0,20cm,L,X,X,X,S,3.0,,20cm,L,X,X,X,S,,3.0
1941-154,J2000,19h41m15.0289s,"-15d24'31.309""",0,90cm,P,X,X,S,S,3.0,,90cm,P,X,X,S,S,,3.0
1941-154,J2000,19h41m15.0289s,"-15d24'31.309""",1,20cm,L,X,X,X,P,3.0,,20cm,L,X,X,X,P,,3.0
1944+548,J2000,19h44m31.512621s,"54d48'07.063080""",0,20cm,L,P,P,P,S,4.0,,20cm,L,P,P,P,S,4.0,
1945+709,J2000,19h45m53.519959s,"70d55'48.732040""",0,20cm,L,P,P,S,X,6.0,,20cm,L,P,P,S,X,6.0,
1950+081,J2000,19h50m05.5403s,"08d07'13.981""",0,20cm,L,P,S,X,X,30.0,,20cm,L,P,S,X,X,30.0,
1951+574,J2000,19h51m06.982540s,"57d27'17.176600""",0,20cm,L,S,S,X,X,10.0,,20cm,L,S,S,X,X,10.0,
1953+356,J2000,19h53m30.875716s,"35d37'59.358390""",0,20cm,L,S,S,X,X,10.0,,20cm,L,S,S,X,X,10.0,
1955+515,J2000,19h55m42.738273s,"51d31'48.546230""",0,20cm,L,S,X,X,X,60.0,,20cm,L,S,X,X,X,60.0,
1955+515,J2000,19h55m42.738273s,"51d31'48.546230""",1,6cm,C,S,S,S,S,300.0,,6cm,C,S,S,S,S,,300.0
1955+515,J2000,19h55m42.738273s,"51d31'48.546230""",2,3.7cm,X,X,S,S,S,300.0,,3.7cm,X,X,S,S,S,,300.0
1955+515,J2000,19h55m42.738273s,"51d31'48.546230""",3,2cm,U,X,S,S,S,300.0,,2cm,U,X,S,S,S,,300.0
1956-076,J2000,19h56m11.0910s,"-07d36'54.567""",0,90cm,P,X,S,S,,1.0,5.0,90cm,P,X,S,S,,1.0,5.0
1956-076,J2000,19h56m11.0910s,"-07d36'54.567""",1,20cm,L,X,X,X,P,5.0,,20cm,L,X,X,X,P,,5.0
1956-324,J2000,19h56m59.4858s,"-32d25'46.277""",0,20cm,L,S,X,X,X,30.0,,20cm,L,S,X,X,X,30.0,
1957-387,J2000,19h57m59.819271s,"-38d45'06.356260""",0,20cm,L,S,S,S,X,6.0,,20cm,L,S,S,S,X,6.0,
2000-178,J2000,20h00m57.090448s,"-17d48'57.672510""",0,20cm,L,S,S,X,X,15.0,,20cm,L,S,S,X,X,15.0,
2000-178,J2000,20h00m57.090448s,"-17d48'57.672510""",1,6cm,C,P,P,P,X,15.0,,6cm,C,P,P,P,X,15.0,
2003+664,J2000,20h03m54.515101s,"66d25'56.377560""",0,20cm,L,P,P,X,X,20.0,,20cm,L,P,P,X,X,20.0,
2003-328,J2000,20h03m24.116306s,"-32d51'45.132310""",0,20cm,L,S,S,X,X,22.0,,20cm,L,S,S,X,X,22.0,
2003-328,J2000,20h03m24.116306s,"-32d51'45.132310""",4,0.7cm,Q,X,W,W,W,2000.0,,0.7cm,Q,X,W,W,W,,2000.0
2005-373,J2000,20h05m55.0728s,"-37d23'41.191""",0,20cm,L,S,S,X,X,30.0,,20cm,L,S,S,X,X,30.0,
2006+644,J2000,20h06m17.694614s,"64d24'45.417870""",0,20cm,L,S,S,X,X,10.0,,20cm,L,S,S,X,X,10.0,
2007+404,J2000,20h07m44.944851s,"40d29'48.604140""",0,20cm,L,P,P,S,X,5.0,,20cm,L,P,P,S,X,5.0,
2007+661,J2000,20h07m28.771088s,"66d07'22.535590""",0,20cm,L,S,X,X,X,50.0,,20cm,L,S,X,X,X,50.0,
2007+661,J2000,20h07m28.771088s,"66d07'22.535590""",1,6cm,C,S,S,X,X,30.0,,6cm,C,S,S,X,X,30.0,
2007+661,J2000,20h07m28.771088s,"66d07'22.535590""",2,3.7cm,X,S,S,X,X,30.0,,3.7cm,X,S,S,X,X,30.0,
2008+522,J2000,20h08m56.4180s,"52d13'31.959""",0,90cm,P,X,S,S,X,1.0,5.0,90cm,P,X,S,S,X,1.0,5.0
2008+522,J2000,20h08m56.4180s,"52d13'31.959""",1,20cm,L,X,X,X,S,5.0,,20cm,L,X,X,X,S,,5.0
2009+250,J2000,20h09m25.1077s,"25d05'47.548""",0,20cm,L,X,X,S,S,7.0,,20cm,L,X,X,S,S,,7.0
2009+724,J2000,20h09m52.303874s,"72d29'19.351050""",0,20cm,L,X,X,S,S,15.0,,20cm,L,X,X,S,S,,15.0
2009+724,J2000,20h09m52.303874s,"72d29'19.351050""",1,6cm,C,P,P,X,X,100.0,,6cm,C,P,P,X,X,100.0,
2009+724,J2000,20h09m52.303874s,"72d29'19.351050""",2,3.7cm,X,P,S,X,X,100.0,,3.7cm,X,P,S,X,X,100.0,
2011-157,J2000,20h11m15.710931s,"-15d46'40.253820""",0,20cm,L,S,X,X,X,60.0,,20cm,L,S,X,X,X,60.0,
2015+341,J2000,20h15m28.831855s,"34d10'39.409850""",0,20cm,L,S,S,S,X,6.0,,20cm,L,S,S,S,X,6.0,
2015+371,J2000,20h15m28.7333s,"37d10'59.505""",0,20cm,L,P,P,P,P,4.0,,20cm,L,P,P,P,P,4.0,
2021+233,J2000,20h21m03.4761s,"23d18'35.672""",0,20cm,L,X,S,S,S,20.0,,20cm,L,X,S,S,S,,20.0
2021+233,J2000,20h21m03.4761s,"23d18'35.672""",1,6cm,C,X,X,S,S,20.0,,6cm,C,X,X,S,S,,20.0
2022+761,J2000,20h22m35.575969s,"76d11'26.171730""",0,20cm,L,S,S,X,X,30.0,,20cm,L,S,S,X,X,30.0,
2022+761,J2000,20h22m35.575969s,"76d11'26.171730""",1,6cm,C,S,S,S,X,15.0,,6cm,C,S,S,S,X,15.0,
2023+318,J2000,20h23m19.017351s,"31d53'02.305950""",0,20cm,L,S,X,S,S,45.0,10.0,20cm,L,S,X,S,S,45.0,10.0
2031+549,J2000,20h31m47.958562s,"54d55'03.140600""",0,20cm,L,S,S,X,X,30.0,,20cm,L,S,S,X,X,30.0,
2031+549,J2000,20h31m47.958562s,"54d55'03.140600""",1,6cm,C,S,S,S,X,25.0,,6cm,C,S,S,S,X,25.0,
2035-349,J2000,20h35m47.8091s,"-34d54'08.925""",0,20cm,L,X,X,X,S,2.0,,20cm,L,X,X,X,S,,2.0
2038+513,J2000,20h38m37.034755s,"51d19'12.662690""",0,90cm,P,S,S,S,X,1.0,13.0,90cm,P,S,S,S,X,1.0,13.0
2038+513,J2000,20h38m37.034755s,"51d19'12.662690""",1,20cm,L,X,X,S,P,12.0,,20cm,L,X,X,S,P,,12.0
2038+513,J2000,20h38m37.034755s,"51d19'12.662690""",2,6cm,C,S,X,X,X,200.0,,6cm,C,S,X,X,X,200.0,
2040-251,J2000,20h40m08.772872s,"-25d07'46.662820""",0,20cm,L,S,X,X,X,30.0,,20cm,L,S,X,X,X,30.0,
2047-026,J2000,20h47m10.3514s,"-02d36'22.152""",0,90cm,P,S,S,S,,1.0,20.0,90cm,P,S,S,S,,1.0,20.0
2047-026,J2000,20h47m10.3514s,"-02d36'22.152""",1,20cm,L,X,S,P,P,20.0,,20cm,L,X,S,P,P,,20.0
2047-026,J2000,20h47m10.3514s,"-02d36'22.152""",2,6cm,C,X,X,S,P,20.0,,6cm,C,X,X,S,P,,20.0
2048+431,J2000,20h48m19.5274s,"43d10'42.073""",0,20cm,L,S,X,X,X,30.0,,20cm,L,S,X,X,X,30.0,
2048+431,J2000,20h48m19.5274s,"43d10'42.073""",1,6cm,C,S,S,S,S,300.0,,6cm,C,S,S,S,S,,300.0
2048+431,J2000,20h48m19.5274s,"43d10'42.073""",2,3.7cm,X,S,S,S,S,300.0,,3.7cm,X,S,S,S,S,,300.0
2051+746,J2000,20h51m33.734576s,"74d41'40.498230""",0,20cm,L,S,S,X,X,15.0,,20cm,L,S,S,X,X,15.0,
2052+365,J2000,20h52m52.054995s,"36d35'35.300210""",1,6cm,C,S,P,P,P,300.0,,6cm,C,S,P,P,P,,300.0
2052+365,J2000,20h52m52.054995s,"36d35'35.300210""",2,3.7cm,X,S,P,P,P,300.0,,3.7cm,X,S,P,P,P,,300.0
2052+365,J2000,20h52m52.054995s,"36d35'35.300210""",3,2cm,U,X,S,S,S,300.0,,2cm,U,X,S,S,S,,300.0
2055+613,J2000,20h55m38.838335s,"61d22'00.639110""",0,20cm,L,S,S,X,X,20.0,,20cm,L,S,S,X,X,20.0,
2057+509,J2000,20h57m19.9994s,"50d58'16.221""",0,20cm,L,X,X,S,S,25.0,,20cm,L,X,X,S,S,,25.0
2057-375,J2000,20h57m41.603454s,"-37d34'02.989870""",0,20cm,L,W,W,X,X,30.0,,20cm,L,W,W,X,X,30.0,
2101+036,J2000,21h01m38.834187s,"03d41'31.321590""",0,20cm,L,S,S,S,X,6.0,,20cm,L,S,S,S,X,6.0,
2101-295,J2000,21h01m01.659969s,"-29d33'27.836500""",0,20cm,L,X,X,S,S,25.0,,20cm,L,X,X,S,S,,25.0
2104+765,J2000,21h04m08.9428s,"76d33'01.129""",0,90cm,P,X,X,S,X,1.0,,90cm,P,X,X,S,X,,1.0
2107+422,J2000,21h07m01.5930s,"42d14'10.186""",0,20cm,L,X,X,X,P,5.0,,20cm,L,X,X,X,P,,5.0
2109-411,J2000,21h09m33.188582s,"-41d10'20.605300""",0,20cm,L,S,S,X,X,15.0,,20cm,L,S,S,X,X,15.0,
2114-256,J2000,21h14m40.0404s,"-25d41'48.835""",0,90cm,P,X,S,S,X,1.0,4.0,90cm,P,X,S,S,X,1.0,4.0
2114-256,J2000,21h14m40.0404s,"-25d41'48.835""",1,20cm,L,X,X,X,S,4.0,,20cm,L,X,X,X,S,,4.0
2129-156,J2000,21h29m12.175902s,"-15d38'41.040850""",0,20cm,L,S,S,X,X,15.0,,20cm,L,S,S,X,X,15.0,
2129-183,J2000,21h29m21.419099s,"-18d21'22.790190""",0,20cm,L,P,P,S,X,6.0,,20cm,L,P,P,S,X,6.0,
2131-121,J2000,21h31m35.261758s,"-12d07'04.795880""",0,20cm,L,P,P,S,X,6.0,,20cm,L,P,P,S,X,6.0,
2131-206,J2000,21h31m01.4866s,"-20d36'56.376""",0,90cm,P,S,S,S,X,2.0,20.0,90cm,P,S,S,S,X,2.0,20.0
2131-206,J2000,21h31m01.4866s,"-20d36'56.376""",1,20cm,L,X,X,S,P,20.0,,20cm,L,X,X,S,P,,20.0
2131-206,J2000,21h31m01.4866s,"-20d36'56.376""",2,6cm,C,X,X,X,S,20.0,,6cm,C,X,X,X,S,,20.0
2133+826,J2000,21h33m34.079801s,"82d39'06.052510""",0,20cm,L,X,X,S,S,10.0,,20cm,L,X,X,S,S,,10.0
2134-018,J2000,21h34m10.309614s,"-01d53'17.238900""",0,20cm,L,P,P,X,X,20.0,,20cm,L,P,P,X,X,20.0,
2137-207,J2000,21h37m50.0018s,"-20d42'31.751""",0,90cm,P,S,S,S,X,2.0,,90cm,P,S,S,S,X,2.0,
2137-207,J2000,21h37m50.0018s,"-20d42'31.751""",1,20cm,L,S,P,P,P,75.0,,20cm,L,S,P,P,P,,75.0
2137-207,J2000,21h37m50.0018s,"-20d42'31.751""",2,6cm,C,X,S,S,P,75.0,,6cm,C,X,S,S,P,,75.0
2137-207,J2000,21h37m50.0018s,"-20d42'31.751""",3,2cm,U,X,X,S,S,75.0,,2cm,U,X,X,S,S,,75.0
2138-246,J2000,21h38m37.181102s,"-24d39'54.466150""",0,20cm,L,S,S,X,X,30.0,,20cm,L,S,S,X,X,30.0,
2140+391,J2000,21h40m16.947117s,"39d11'44.854860""",0,20cm,L,S,S,X,X,10.0,,20cm,L,S,S,X,X,10.0,
2142-046,J2000,21h42m36.901689s,"-04d37'43.512810""",0,20cm,L,S,S,X,X,30.0,,20cm,L,S,S,X,X,30.0,
2142-046,J2000,21h42m36.901689s,"-04d37'43.512810""",1,6cm,C,S,S,S,X,30.0,300.0,6cm,C,S,S,S,X,30.0,300.0
2142-046,J2000,21h42m36.901689s,"-04d37'43.512810""",2,3.7cm,X,S,S,S,S,300.0,,3.7cm,X,S,S,S,S,,300.0
2147+094,J2000,21h47m10.162971s,"09d29'46.672450""",0,20cm,L,X,X,S,S,15.0,,20cm,L,X,X,S,S,,15.0
2148+611,J2000,21h48m16.0454s,"61d07'05.838""",0,20cm,L,P,P,S,X,7.0,,20cm,L,P,P,S,X,7.0,
2148+611,J2000,21h48m16.0454s,"61d07'05.838""",1,6cm,C,S,P,P,P,400.0,,6cm,C,S,P,P,P,,400.0
2148+611,J2000,21h48m16.0454s,"61d07'05.838""",2,3.7cm,X,S,P,P,P,400.0,,3.7cm,X,S,P,P,P,,400.0
2148+611,J2000,21h48m16.0454s,"61d07'05.838""",3,2cm,U,X,S,S,S,400.0,,2cm,U,X,S,S,S,,400.0
2149-130,J2000,21h49m28.6525s,"-13d04'25.161""",0,90cm,P,S,S,S,X,1.0,13.0,90cm,P,S,S,S,X,1.0,13.0
2149-130,J2000,21h49m28.6525s,"-13d04'25.161""",1,20cm,L,X,X,S,S,8.0,,20cm,L,X,X,S,S,,8.0
2150+148,J2000,21h50m23.6016s,"14d49'47.908""",1,6cm,C,X,S,S,S,150.0,,6cm,C,X,S,S,S,,150.0
2150+148,J2000,21h50m23.6016s,"14d49'47.908""",2,3.7cm,X,S,X,X,X,300.0,,3.7cm,X,S,X,X,X,300.0,
2151+071,J2000,21h51m31.429323s,"07d09'26.783920""",0,20cm,L,S,S,X,X,10.0,,20cm,L,S,S,X,X,10.0,
2152+175,J2000,21h52m24.819405s,"17d34'37.794820""",0,20cm,L,P,S,S,X,5.0,,20cm,L,P,S,S,X,5.0,
2152-284,J2000,21h52m03.7352s,"-28d28'28.218""",0,90cm,P,S,S,S,X,1.0,15.0,90cm,P,S,S,S,X,1.0,15.0
2152-284,J2000,21h52m03.7352s,"-28d28'28.218""",1,20cm,L,X,X,S,S,15.0,,20cm,L,X,X,S,S,,15.0
2152-284,J2000,21h52m03.7352s,"-28d28'28.218""",2,6cm,C,X,X,X,S,15.0,,6cm,C,X,X,X,S,,15.0
2156+485,J2000,21h56m37.9064s,"48d30'27.590""",0,90cm,P,X,S,S,X,1.0,8.0,90cm,P,X,S,S,X,1.0,8.0
2156+485,J2000,21h56m37.9064s,"48d30'27.590""",1,20cm,L,X,X,S,S,8.0,,20cm,L,X,X,S,S,,8.0
