name,frame,ra,dec,band_idx,wavelength_old,receiver_old,cfg_A_old,cfg_B_old,cfg_C_old,cfg_D_old,uvmin_kl_old,uvmax_kl_old,wavelength_new,receiver_new,cfg_A_new,cfg_B_new,cfg_C_new,cfg_D_new,uvmin_kl_new,uvmax_kl_new
1510-057,J2000,15h10m53.591431s,"-05d43'07.417180""",1,20cm,L,X,X,S,P,6.0,,20cm,L,X,X,S,P,,6.0
1512-090,J2000,15h12m50.532939s,"-09d05'59.829500""",0,20cm,L,S,X,X,X,60.0,,20cm,L,S,X,X,X,60.0,
1513+236,J2000,15h13m40.185630s,"23d38'35.200460""",0,20cm,L,P,P,P,S,1.5,,20cm,L,P,P,P,S,1.5,
1513-102,J2000,15h13m44.893444s,"-10d12'00.264350""",0,20cm,L,S,X,X,X,60.0,,20cm,L,S,X,X,X,60.0,
1513-212,J2000,15h13m56.970129s,"-21d14'57.506900""",0,20cm,L,S,S,S,X,6.0,,20cm,L,S,S,S,X,6.0,
1517-243,J2000,15h17m41.813132s,"-24d22'19.475940""",0,20cm,L,X,S,S,S,1.0,70.0,20cm,L,X,S,S,S,1.0,70.0
1520+202,J2000,15h20m05.4897s,"20d16'05.611""",0,20cm,L,X,S,P,P,30.0,,20cm,L,X,S,P,P,,30.0
1520+202,J2000,15h20m05.4897s,"20d16'05.611""",1,6cm,C,X,X,S,S,30.0,,6cm,C,X,X,S,S,,30.0
1526-138,J2000,15h26m59.440733s,"-13d51'00.163560""",0,20cm,L,X,S,P,P,30.0,,20cm,L,X,S,P,P,,30.0
1526-138,J2000,15h26m59.440733s,"-13d51'00.163560""",1,6cm,C,X,X,S,S,30.0,,6cm,C,X,X,S,S,,30.0
1531+721,J2000,15h31m33.578489s,"72d06'41.227280""",0,20cm,L,S,X,X,X,25.0,,20cm,L,S,X,X,X,25.0,
1531+721,J2000,15h31m33.578489s,"72d06'41.227280""",1,6cm,C,S,S,S,X,20.0,,6cm,C,S,S,S,X,20.0,
1531+721,J2000,15h31m33.578489s,"72d06'41.227280""",2,3.7cm,X,S,S,S,X,20.0,,3.7cm,X,S,S,S,X,20.0,
1534+015,J2000,15h34m52.453675s,"01d31'04.206570""",0,20cm,L,P,S,X,X,20.0,,20cm,L,P,S,X,X,20.0,
1535+499,J2000,15h35m52.038964s,"49d57'39.079680""",0,20cm,L,W,W,X,X,15.0,,20cm,L,W,W,X,X,15.0,
1538+003,J2000,15h38m15.953081s,"00d19'05.324150""",0,20cm,L,S,S,S,X,5.0,,20cm,L,S,S,S,X,5.0,
1540+147,J2000,15h40m49.491511s,"14d47'45.884850""",0,20cm,L,X,X,S,S,15.0,,20cm,L,X,X,S,S,,15.0
