name,ra,dec,band_guess,band_code,size_gb,date_utc,gain_calibrator_name,gain_onsource_min,gain_array_config,access_url,ra_deg,dec_deg,ra_rad,dec_rad,folder,wget_command,status,new_size,wget_error,downloaded_folder,extracted_ms,spw_selected,extracted_gain_onsource_min,caltables_found,corrected_used,size,spw_center_ghz,spw_bandwidth_mhz,spw_unflagged_frac,spw_n_rows,spw_matches_band
0025-260,0:25:49.168300,-26:02:12.695000,L,L,3.960961,2020-06-05 00:00:00+00:00,J0025-2602,12.465833349851891,C,https://data.nrao.edu/portal/#/productViewer/20A-438.sb38243313.eb38259470.59005.53019585648,6.454867916666666,-26.036859722222225,0.1126586979271802,-0.454428929032674,,,,,,,,,,,,,,,,,
1035+564,10:35:07.039900,+56:28:46.792000,L,L,3.312432,2017-06-11 00:00:00+00:00,J1035+5628,12.465816638432443,C,https://data.nrao.edu/portal/#/productViewer/17A-296.sb33813768.eb33916632.57915.92144484953,158.77933291666665,56.479664444444445,2.771222143516044,0.9857561049771296,,,,,,,,,,,,,,,,,
1949-199,19:49:53.420177,-19:57:13.330400,L,L X,13.993181,2020-03-01 00:00:00+00:00,J1949-1957,12.465000010561198,C,https://data.nrao.edu/portal/#/productViewer/SC1046.sb37924683.eb37952474.58909.683117939814,297.47258407083325,-19.953702888888888,-1.0913092807279092,-0.3482578133758153,,,,,,,,,,,,,,,,,
2015+371,20:15:28.733300,+37:10:59.505000,L,S,8.027754,2024-02-25 00:00:00+00:00,J2015+3710,12.134166638134047,C,https://data.nrao.edu/portal/#/productViewer/24A-412.sb44994315.eb45281805.60365.72064175926,303.86972208333333,37.18319583333333,-0.9796581597052968,0.6489691937055033,,,,,,,,,,,,,,,,,
1719+177,17:19:13.048469,+17:45:06.436980,X,X,13.852363,2016-09-28 00:00:00+00:00,J1719+1745,11.969166632043198,B,https://data.nrao.edu/portal/#/productViewer/15A-235.sb32859381.eb32860575.57658.99386342593,259.8043686208333,17.75178805,-1.7487436636810056,0.3098271495886837,,,,,,,,,,,,,,,,,
1150-003,11:50:43.870761,-0:23:54.204900,L,L,3.048794,2018-09-09 00:00:00+00:00,J1150-0023,11.9683333451394,D,https://data.nrao.edu/portal/#/productViewer/18A-074.sb35417086.eb35598661.58370.65209020833,177.68279483749998,-0.39839025,3.1011497940599577,-0.0069532215703433,,,,,,,,,,,,,,,,,
0108+015,1:08:38.771074,+1:35:00.317140,L,L,3.555156,2017-03-31 00:00:00+00:00,J0108+0135,11.9683333451394,D,https://data.nrao.edu/portal/#/productViewer/17A-060.sb33364047.eb33638732.57843.627024050926,17.161546141666665,1.5834214277777778,0.2995254849050125,0.0276359173613518,,,,,,,,,,,,,,,,,
1057-245,10:57:55.410047,-24:33:48.871750,L,L S,7.905568,2017-08-25 00:00:00+00:00,J1057-2433,11.967500016326085,C,https://data.nrao.edu/portal/#/productViewer/17B-388.sb34154645.eb34218619.57990.749118611115,164.4808751958333,-24.563575486111112,2.870732828729164,-0.4287152682948055,,,,,,,,,,,,,,,,,
0141+138,1:41:09.154500,+13:53:28.033000,L,L,13.588724,2022-07-22 00:00:00+00:00,J0141+1353,11.967500005848706,D,https://data.nrao.edu/portal/#/productViewer/22A-023.sb41895658.eb42437782.59782.36632863426,25.288143749999996,13.891120277777777,0.4413613701551257,0.2424457856377715,,,,,,,,,,,,,,,,,
2212+018,22:12:37.977000,+1:52:51.151000,L,L,9.174858,2022-07-30 00:00:00+00:00,J2212+0152,11.967499984893948,D,https://data.nrao.edu/portal/#/productViewer/22A-023.sb41849950.eb42468880.59790.292993020834,333.1582375,1.8808752777777775,-0.4684771326633447,0.0328274664165851,,,,,,,,,,,,,,,,,
0608-223,6:08:59.686836,-22:20:20.955920,C,C X,10.713746,2016-12-23 00:00:00+00:00,J0608-2220,11.966666708467528,A,https://data.nrao.edu/portal/#/productViewer/15A-235.sb33100690.eb33101574.57745.31847357639,92.24869515,-22.339154422222222,1.6100434610360244,-0.3898917967792293,,,,,,,,,,,,,,,,,
0312-148,3:12:46.398800,-14:49:52.051000,L,L,13.564898,2022-08-02 00:00:00+00:00,J0312-1449,11.96666669799015,D,https://data.nrao.edu/portal/#/productViewer/22A-023.sb41898193.eb42470372.59793.62605548611,48.19332833333333,-14.831125277777778,0.841132256911338,-0.2588519678729808,,,,,,,,,,,,,,,,,
0409-179,4:09:06.700000,-17:57:10.039000,L,L,10.672258,2017-08-24 00:00:00+00:00,J0409-1757,11.966666677035391,C,https://data.nrao.edu/portal/#/productViewer/17A-332.sb33757064.eb34200163.57989.42082625,62.27791666666667,-17.95278861111111,1.0869546971159854,-0.3133352711784287,,,,,,,,,,,,,,,,,
0508+845,5:08:42.363503,+84:32:04.544020,C,C L S X,14.102629,2022-10-22 00:00:00+00:00,J0508+8432,11.966666666558012,C,https://data.nrao.edu/portal/#/productViewer/22B-003.sb42772644.eb42948825.59874.28743435185,77.17651459583334,84.5345955611111,1.3469842849107525,1.475407024383172,,,,,,,,,,,,,,,,,
0921-263,9:21:29.353874,-26:18:43.386040,L,C S,14.784338,2021-10-02 00:00:00+00:00,J0921-2618,11.93333336734213,B,https://data.nrao.edu/portal/#/productViewer/21A-282.sb40441786.eb40485330.59489.64181988426,140.37230780833332,-26.312051677777777,2.449958949878362,-0.4592319347321203,,,,,,,,,,,,,,,,,
0846-261,8:46:00.733855,-26:10:54.155700,L,C S,13.724234,2021-10-07 00:00:00+00:00,J0846-2610,11.900833375984805,B,https://data.nrao.edu/portal/#/productViewer/21A-282.sb40441515.eb40524248.59494.56645186343,131.50305772916667,-26.18170991666667,2.295161333814136,-0.4569570418478836,,,,,,,,,,,,,,,,,
0653+370,6:53:58.282842,+37:05:40.606420,C,C L S X,13.664363,2022-11-06 00:00:00+00:00,J0653+3705,11.30083336145617,C,https://data.nrao.edu/portal/#/productViewer/22B-003.sb42845935.eb42977367.59889.52672653935,103.492845175,37.094612894444445,1.8062909005604768,0.6474231297607994,,,,,,,,,,,,,,,,,
0205+322,2:05:04.925371,+32:12:30.095600,L,L,3.285398,2022-12-10 00:00:00+00:00,J0205+3212,11.168333346722648,C,https://data.nrao.edu/portal/#/productViewer/22B-319.sb43053492.eb43085640.59923.931312754634,31.270522379166668,32.20835988888889,0.545773574335029,0.5621419267283861,,,,,,,,,,,,,,,,,
0132-169,1:32:43.487454,-16:54:48.521370,C,C,7.717886,2018-09-30 00:00:00+00:00,J0132-1654,11.10248333425261,D,https://data.nrao.edu/portal/#/productViewer/SE0229.sb35615505.eb35618725_000.58391.15663732639,23.181197724999993,-16.913478158333334,0.4045882248570689,-0.2951958818270634,,,,,,,,,,,,,,,,,
