name,ra,dec,wavelength,receiver,flux_jy,usable_configs,usable_A,usable_B,usable_C,usable_D,cfg_A,cfg_B,cfg_C,cfg_D
0521+166,05h21m09.886021s,"16d38'22.051220""",20cm,L,8.47,"C,D",False,False,True,True,X,S,P,P
0521+166,05h21m09.886021s,"16d38'22.051220""",6cm,C,3.78,D,False,False,False,True,X,X,S,P
0530-250,05h30m07.962795s,"-25d03'29.899590""",20cm,L,1.3,"A,B",True,True,False,False,P,P,S,X
0530-250,05h30m07.962795s,"-25d03'29.899590""",6cm,C,0.94,"A,B,C,D",True,True,True,True,P,P,P,P
0530-250,05h30m07.962795s,"-25d03'29.899590""",3.7cm,X,0.68,"A,B,C,D",True,True,True,True,P,P,P,P
0530+135,05h30m56.416744s,"13d31'55.149550""",6cm,C,4.3,"A,B,C,D",True,True,True,True,P,P,P,P
0530+135,05h30m56.416744s,"13d31'55.149550""",3.7cm,X,2.48,"A,B,C,D",True,True,True,True,P,P,P,P
0530+135,05h30m56.416744s,"13d31'55.149550""",2cm,U,3.2,"A,B,C,D",True,True,True,True,P,P,P,P
0532+075,05h32m38.998531s,"07d32'43.345860""",6cm,C,2.3,"A,B,C,D",True,True,True,True,P,P,P,P
0532+075,05h32m38.998531s,"07d32'43.345860""",3.7cm,X,2.08,"A,B,C,D",True,True,True,True,P,P,P,P
0532+075,05h32m38.998531s,"07d32'43.345860""",2cm,U,2.2,"A,B,C,D",True,True,True,True,P,P,P,P
0534+194,05h34m44.5183s,"19d27'21.378""",20cm,L,6.8,"C,D",False,False,True,True,X,S,P,P
0534+194,05h34m44.5183s,"19d27'21.378""",6cm,C,2.5,D,False,False,False,True,X,X,S,P
0536-340,05h36m28.4383s,"-34d01'11.381""",6cm,C,0.62,"A,B",True,True,False,False,P,P,S,S
