name,ra,dec,wavelength,receiver,flux_jy,usable_configs,usable_A,usable_B,usable_C,usable_D,cfg_A,cfg_B,cfg_C,cfg_D
0228+673,02h28m50.051459s,"67d21'03.029260""",6cm,C,1.15,"A,B,C,D",True,True,True,True,P,P,P,P
0228+673,02h28m50.051459s,"67d21'03.029260""",3.7cm,X,2.12,"A,B,C,D",True,True,True,True,P,P,P,P
0228+673,02h28m50.051459s,"67d21'03.029260""",2cm,U,2.3,"A,B,C,D",True,True,True,True,P,P,P,P
0229+777,02h29m14.7115s,"77d43'16.113""",20cm,L,2.5,"C,D",False,False,True,True,X,X,P,P
0231+133,02h31m45.894054s,"13d22'54.716270""",6cm,C,2.2,D,False,False,False,True,X,S,S,P
0231+133,02h31m45.894054s,"13d22'54.716270""",3.7cm,X,1.97,"C,D",False,False,True,True,X,S,P,P
0237+288,02h37m52.405678s,"28d48'08.990080""",6cm,C,2.3,"A,B,C,D",True,True,True,True,P,P,P,P
0237+288,02h37m52.405678s,"28d48'08.990080""",3.7cm,X,4.65,"A,B,C,D",True,True,True,True,P,P,P,P
0237+288,02h37m52.405678s,"28d48'08.990080""",2cm,U,2.5,"A,B,C,D",True,True,True,True,P,P,P,P
0238+166,02h38m38.930108s,"16d36'59.274710""",20cm,L,1.26,"A,B,C,D",True,True,True,True,P,P,P,P
0238+166,02h38m38.930108s,"16d36'59.274710""",6cm,C,1.73,"A,B,C,D",True,True,True,True,P,P,P,P
0238+166,02h38m38.930108s,"16d36'59.274710""",3.7cm,X,1.3,"A,B,C,D",True,True,True,True,P,P,P,P
0238+166,02h38m38.930108s,"16d36'59.274710""",2cm,U,3.3,"A,B,C,D",True,True,True,True,P,P,P,P
0239-025,02h39m45.472266s,"-02d34'40.914300""",6cm,C,1.12,"A,B,C,D",True,True,True,True,P,P,P,P
0239-025,02h39m45.472266s,"-02d34'40.914300""",3.7cm,X,0.9,"A,B,C,D",True,True,True,True,P,P,P,P
0239+042,02h39m51.263048s,"04d16'21.411830""",3.7cm,X,0.6,"A,B,C,D",True,True,True,True,P,P,P,P
0240-231,02h40m08.174510s,"-23d09'15.730850""",20cm,L,6.3,"A,B,C,D",True,True,True,True,P,P,P,P
0240-231,02h40m08.174510s,"-23d09'15.730850""",6cm,C,3.15,"A,B,C,D",True,True,True,True,P,P,P,P
0240-231,02h40m08.174510s,"-23d09'15.730850""",3.7cm,X,1.66,"A,B,C,D",True,True,True,True,P,P,P,P
