query_name,query_ra_deg,query_dec_deg,obs_publisher_did,project_code,target_name,t_min,t_max,t_exptime,instrument_name,dataproduct_type,access_format,access_estsize,access_url,proprietary_status,configuration,freq_min,freq_max,s_ra,s_dec,_status,_nrows,_error,_ra_mode
0050-094,12.672155791666667,-9.484780613888889,BR249_sb44829087_1_1_000.60270.82008321759,BR249,0050-092,60270.99926909722,60271.00083159723,135.0,EVLA,visibility,Execution Block,40929,https://data.nrao.edu/portal/#/productViewer/BR249_sb44829087_1_1_000.60270.82008321759,PUBLIC,D,23512000000.0,23960000000.0,12.672155792225189,-9.48478061150022,hit,5,,hms
0050-094,12.672155791666667,-9.484780613888889,BR249_sb44859637_1_1_001.60281.701655798606,BR249,0050-092,60281.97431539352,60281.97443113426,10.0,EVLA,visibility,Execution Block,61267,https://data.nrao.edu/portal/#/productViewer/BR249_sb44859637_1_1_001.60281.701655798606,PUBLIC,D,23512000000.0,23960000000.0,12.672155792225189,-9.48478061150022,hit,5,,hms
0050-094,12.672155791666667,-9.484780613888889,BR249_sb44859637_1_1_001.60281.701655798606,BR249,0050-092,60281.97443113426,60281.97597048611,133.0,EVLA,visibility,Execution Block,61267,https://data.nrao.edu/portal/#/productViewer/BR249_sb44859637_1_1_001.60281.701655798606,PUBLIC,D,23512000000.0,23960000000.0,12.672155792225189,-9.48478061150022,hit,5,,hms
0050-094,12.672155791666667,-9.484780613888889,BR249_sb43694066_1_1.60010.431862627316,BR249,0050-092,60010.717000578705,60010.71711631944,10.0,EVLA,visibility,Execution Block,63273,https://data.nrao.edu/portal/#/productViewer/BR249_sb43694066_1_1.60010.431862627316,PUBLIC,B,23512000000.0,23960000000.0,12.672155792225189,-9.48478061150022,hit,5,,hms
0057+303,14.453680637499998,30.35244781388889,pointing_sysptgx_001.56471.65541820602,Operations,0057+303,56471.65913888889,56471.659364583335,19.5,EVLA,visibility,Execution Block,1445614,https://data.nrao.edu/portal/#/productViewer/pointing_sysptgx_001.56471.65541820602,PUBLIC,C,8160000000.0,8760000000.0,14.453692916666911,30.35244027777752,hit,5,,hms
0057+303,14.453680637499998,30.35244781388889,pointing_sysptgx_001.56471.65541820602,Operations,0057+303,56471.659364583335,56471.65959606482,20.0,EVLA,visibility,Execution Block,1445614,https://data.nrao.edu/portal/#/productViewer/pointing_sysptgx_001.56471.65541820602,PUBLIC,C,8160000000.0,8760000000.0,14.453692916666911,30.35244027777752,hit,5,,hms
0057+303,14.453680637499998,30.35244781388889,pointing_sysptgx_001.56471.65541820602,Operations,0057+303,56471.6598275463,56471.66005902778,20.0,EVLA,visibility,Execution Block,1445614,https://data.nrao.edu/portal/#/productViewer/pointing_sysptgx_001.56471.65541820602,PUBLIC,C,8160000000.0,8760000000.0,14.453692916666911,30.35244027777752,hit,5,,hms
0057+303,14.453680637499998,30.35244781388889,pointing_sysptgx_001.56471.65541820602,Operations,0057+303,56471.65959606482,56471.6598275463,20.0,EVLA,visibility,Execution Block,1445614,https://data.nrao.edu/portal/#/productViewer/pointing_sysptgx_001.56471.65541820602,PUBLIC,C,8160000000.0,8760000000.0,14.453692916666911,30.35244027777752,hit,5,,hms
0057+303,14.453680637499998,30.35244781388889,pointing_sysptgx_001.56471.65541820602,Operations,0057+303,56471.66005902778,56471.66029050926,20.0,EVLA,visibility,Execution Block,1445614,https://data.nrao.edu/portal/#/productViewer/pointing_sysptgx_001.56471.65541820602,PUBLIC,C,8160000000.0,8760000000.0,14.453692916666911,30.35244027777752,hit,5,,hms
0059+001,14.772978849999998,0.11433936388888889,21A-380.sb39869712.eb39955858.59386.66685633102,21A-380,J0059+0006,59386.674832175915,59386.6751922338,31.11,EVLA,visibility,Execution Block,530803,https://data.nrao.edu/portal/#/productViewer/21A-380.sb39869712.eb39955858.59386.66685633102,PUBLIC,C,7976000000.0,11896000000.0,14.772978852292663,0.11433936592305986,hit,5,,hms
0059+001,14.772978849999998,0.11433936388888889,13B-370.sb28620838.eb28661771.56677.04057027778,13B-370,J0059+0006,56677.040585648145,56677.04085207176,23.02,EVLA,visibility,Execution Block,539013,https://data.nrao.edu/portal/#/productViewer/13B-370.sb28620838.eb28661771.56677.04057027778,PUBLIC,B,1988000000.0,3884000000.0,14.772978852292663,0.11433936592305986,hit,5,,hms
0059+001,14.772978849999998,0.11433936388888889,17A-166.sb33810944.eb34040765.57962.38983292824,17A-166,J0059+0006,57962.389850694446,57962.391110138895,108.82,EVLA,visibility,Execution Block,1292852,https://data.nrao.edu/portal/#/productViewer/17A-166.sb33810944.eb34040765.57962.38983292824,PUBLIC,C,988000000.0,1884000000.0,14.772978852292663,0.11433936592305986,hit,5,,hms
0059+001,14.772978849999998,0.11433936388888889,12A-071.sb7273636.eb9362195.56004.69865699074,12A-071,J0059+0006,56004.75809837963,56004.76156134259,299.2,EVLA,visibility,Execution Block,1488944,https://data.nrao.edu/portal/#/productViewer/12A-071.sb7273636.eb9362195.56004.69865699074,PUBLIC,C,1413304121.4835868,1413304121.4835868,14.772978852292663,0.11433936592305986,hit,5,,hms
0059+001,14.772978849999998,0.11433936388888889,12A-071.sb7273636.eb9362195.56004.69865699074,12A-071,J0059+0006,56004.73593692129,56004.73939988425,299.2,EVLA,visibility,Execution Block,1488944,https://data.nrao.edu/portal/#/productViewer/12A-071.sb7273636.eb9362195.56004.69865699074,PUBLIC,C,1413304121.4835868,1413304121.4835868,14.772978852292663,0.11433936592305986,hit,5,,hms
