name,ra,dec,band_guess,band_code,size_gb,date_utc,gain_calibrator_name,gain_onsource_min,gain_array_config,access_url
2314-316,23:14:48.500631,-31:38:39.526510,L,S,18.895862,2024-12-01,J2314-3138,9.972499972209334,A,https://data.nrao.edu/portal/#/productViewer/24B-220.sb46798914.eb47329822.60645.04723513889
2316+040,23:16:35.209800,+4:05:18.148000,L,L,5.982415,2018-10-02,J2316+0405,7.89666666649282,D,https://data.nrao.edu/portal/#/productViewer/18A-146.sb35425333.eb35624056.58393.24443209491
2320+052,23:20:44.856598,+5:13:49.952660,X,C X,16.270054,2022-07-30,J2346+0930,1.745833356399089,D,https://data.nrao.edu/portal/#/productViewer/22A-378.sb41931539.eb42469037.59790.51493641204
2321-163,23:21:01.958900,-16:23:05.187000,L,L,171.731828,2022-07-29,J2321-1623,41.88499999581836,D,https://data.nrao.edu/portal/#/productViewer/20A-346.sb42431968.eb42466407.59789.27281421296
2322+509,23:22:25.982159,+50:57:51.963710,X,X,36.922749,2018-04-14,J2322+5057,3.4399999806191772,A,https://data.nrao.edu/portal/#/productViewer/18A-299.sb35183350.eb35341605.58222.922471620375
2323-032,23:23:31.953757,-3:17:05.023800,C,C,17.410832,2024-11-04,J2323-0317,10.63833334017545,A,https://data.nrao.edu/portal/#/productViewer/24B-169.sb46708871.eb47172718.60618.15048674769
2327+096,23:27:33.580579,+9:40:09.462780,KU,K X,15.254334,2023-07-06,J2327+0940,1.9950000126846135,A,https://data.nrao.edu/portal/#/productViewer/23A-361.sb44228463.eb44305375.60131.599441921295
2330+110,23:30:40.852257,+11:00:18.709840,L,L,8.948914,2017-09-25,2330+110,7.977483321446925,B,https://data.nrao.edu/portal/#/productViewer/17B-074.sb34091604.eb34498111.58021.13048049768
2331-159,23:31:38.652436,-15:56:57.009520,C,X,21.762137,2023-09-29,J2331-1556,5.151666667079553,A,https://data.nrao.edu/portal/#/productViewer/23A-249.sb44531696.eb44600545.60216.40666087963
2333+390,23:33:02.533406,+39:01:12.048840,L,L,11.088542,2024-12-10,J2333+3901,9.159166639437899,A,https://data.nrao.edu/portal/#/productViewer/24B-465.sb47270896.eb47375690.60654.926554687496
2333-237,23:33:55.237807,-23:43:40.657990,L,S,5.927942,2016-09-03,J2333-2343cal,5.984166688285768,B,https://data.nrao.edu/portal/#/productViewer/16A-202.sb32459232.eb32682158.57634.25960453704
2334+076,23:34:12.828194,+7:36:27.552040,KU,KU X,30.588483,2018-06-07,J2203+3145,2.909166676690802,A,https://data.nrao.edu/portal/#/productViewer/18A-034.sb35379173.eb35476705.58276.38824684027
2340+266,23:40:29.029462,+26:41:56.804850,C,C X,7.798758,2022-11-16,J2340+2641,3.191666674101725,C,https://data.nrao.edu/portal/#/productViewer/22B-240.sb42878071.eb42990624.59899.09906601852
2341-351,23:41:45.891000,-35:06:22.130000,L,L,12.247746,2017-07-19,J2341-3506,54.84666664036922,C,https://data.nrao.edu/portal/#/productViewer/17A-293.sb33848958.eb34037770.57953.347049814816
2344+824,23:44:03.771800,+82:26:40.401000,L,L,17.790258,2017-11-16,J2344+8226,21.940000019967556,B,https://data.nrao.edu/portal/#/productViewer/17B-370.sb34664219.eb34692898_000.58073.18390297454
2346+095,23:46:36.838558,+9:30:45.514970,X,KA,14.235795,2024-03-12,J2346+0930,17.9508333443664,C,https://data.nrao.edu/portal/#/productViewer/SA101269.sb45189188.eb45299195.60381.65584369213
2350+646,23:50:54.917600,+64:40:17.830000,L,L,11.336491,2023-10-29,J2350+6440,12.964166630990803,D,https://data.nrao.edu/portal/#/productViewer/23B-079.sb44649808.eb44756893.60246.03351306713
2354-152,23:54:30.195190,-15:13:11.213010,C,X,37.452961,2016-11-30,J0125-0005,6.9316666724625975,A,https://data.nrao.edu/portal/#/productViewer/16B-084.sb32940418.eb33045289.57722.10576277778
2357-114,23:57:31.197570,-11:25:39.176340,L,S,5.940026,2016-09-03,J2357-1125cal,5.984166688285768,B,https://data.nrao.edu/portal/#/productViewer/16A-202.sb32518651.eb32682159.57634.27692040509
2358-103,23:58:10.882409,-10:20:08.611260,C,C L S X,6.720223,2020-09-01,J2358-1020,5.735000011045486,B,https://data.nrao.edu/portal/#/productViewer/20B-406.sb38614301.eb38627579.59093.27090224537
2359-315,23:59:35.494000,-31:33:43.820000,C,L X,21.503553,2022-10-27,J2359-3133,16.438333354890347,C,https://data.nrao.edu/portal/#/productViewer/22B-299.sb42917773.eb42956694.59879.18984140047
