name,ra,dec,band_guess,configs,reason
1734+389,17:34:20.578534,+38:57:51.443100,L,"A,B",no valid dataset found (needs has_caltables + probable_gain_calibrator)
1737+063,17:37:13.729042,+6:21:03.572370,L,"A,B",no valid dataset found (needs has_caltables + probable_gain_calibrator)
1739+499,17:39:27.390494,+49:55:03.368280,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
1751+096,17:51:32.818573,+9:39:00.728510,L,"A,B",no valid dataset found (needs has_caltables + probable_gain_calibrator)
1751-253,17:51:51.263047,-25:24:00.060610,L,"A,B",no valid dataset found (needs has_caltables + probable_gain_calibrator)
1800+388,18:00:24.765367,+38:48:30.697590,C,"A,B",no valid dataset found (needs has_caltables + probable_gain_calibrator)
1800+784,18:00:45.683918,+78:28:04.018510,L,A,no valid dataset found (needs has_caltables + probable_gain_calibrator)
1820-254,18:20:57.848685,-25:28:12.584560,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
1832-105,18:32:20.836000,-10:35:11.200000,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
1850+284,18:50:27.589807,+28:25:13.155570,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
1922+155,19:22:34.699188,+15:30:10.032130,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
1925+211,19:25:59.605370,+21:06:26.162180,L,A,no valid dataset found (needs has_caltables + probable_gain_calibrator)
1927+739,19:27:48.495196,+73:58:01.569960,L,"A,B",no valid dataset found (needs has_caltables + probable_gain_calibrator)
1941-154,19:41:15.028900,-15:24:31.309000,L,D,no valid dataset found (needs has_caltables + probable_gain_calibrator)
1957-387,19:57:59.819271,-38:45:06.356260,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2000-178,20:00:57.090448,-17:48:57.672510,C,"A,B,C",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2003+664,20:03:54.515101,+66:25:56.377560,L,"A,B",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2011-157,20:11:15.710931,-15:46:40.253820,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2012+464,20:12:05.637448,+46:28:55.776970,KU,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2022+616,20:22:06.681679,+61:36:58.804700,L,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2025+337,20:25:10.842097,+33:43:00.214540,L,"A,B,C",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2031+549,20:31:47.958562,+54:55:03.140600,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2038+513,20:38:37.034755,+51:19:12.662690,L,D,no valid dataset found (needs has_caltables + probable_gain_calibrator)
2052+365,20:52:52.054995,+36:35:35.300210,L,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2057-375,20:57:41.603454,-37:34:02.989870,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2107+422,21:07:01.593000,+42:14:10.186000,L,D,no valid dataset found (needs has_caltables + probable_gain_calibrator)
2109-411,21:09:33.188582,-41:10:20.605300,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2131-206,21:31:01.486600,-20:36:56.376000,L,D,no valid dataset found (needs has_caltables + probable_gain_calibrator)
2136+006,21:36:38.586299,+0:41:54.213350,L,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2146-154,21:46:22.979340,-15:25:43.885260,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2151+071,21:51:31.429323,+7:09:26.783920,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2151-304,21:51:55.524001,-30:27:53.698170,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2158-150,21:58:06.281901,-15:01:09.328090,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2203+626,22:03:20.962300,+62:40:34.271000,L,"C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2212+239,22:12:05.966318,+23:55:40.543880,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2229-085,22:29:40.084346,-8:32:54.435410,C,"B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2230+697,22:30:36.469725,+69:46:28.076980,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2230-397,22:30:40.278593,-39:42:52.067240,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2251+188,22:51:34.738600,+18:48:40.145000,C,D,no valid dataset found (needs has_caltables + probable_gain_calibrator)
2253+161,22:53:57.747932,+16:08:53.560890,C,"A,B",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2255+420,22:55:36.707856,+42:02:52.532810,C,"A,B",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2258-279,22:58:05.962888,-27:58:21.256750,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2314-449,23:14:09.382807,-44:55:49.237720,L,"A,B,C",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2324-372,23:24:07.112000,-37:14:22.424000,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2327-147,23:27:47.964268,-14:47:55.750680,X,"C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2348-165,23:48:02.608516,-16:31:12.022020,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
2354+458,23:54:21.680266,+45:53:04.236530,C,D,no valid dataset found (needs has_caltables + probable_gain_calibrator)
2355+498,23:55:09.458169,+49:50:08.340000,L,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
